wavelength;a_o;a_oz;a_wv;E_0
300;0;9.2636;0;445.84
301;0;7.838;0;507.82
302;0;6.9345;0;444.65
303;0;5.8393;0;687.66
304;0;5.3271;0;636.5
305;0;4.5239;0;725.92
306;0;3.9901;0;612.32
307;0;3.4268;0;671.44
308;0;2.9928;0;708.96
309;0;2.7354;0;673.04
310;0;2.1965;0;563.27
311;0;1.9968;0;972.35
312;0;1.7116;0;735.45
313;0;1.4426;0;765.17
314;0;1.3823;0;799.26
315;0;1.0753;0;764.13
316;0;1.0413;0;619.6
317;0;0.7991;0;819.76
318;0;0.8181;0;744.14
319;0;0.5497;0;730.65
320;0;0.6933;0;809.93
321;0;0.3774;0;783.24
322;0;0.443;0;766.87
323;0;0.4115;0;615.7
324;0;0.214;0;722.57
325;0;0.3399;0;878.31
326;0;0.2079;0;1073.3
327;0;0.1559;0;1072.2
328;0;0.2618;0;986.38
329;0;0.1005;0;1040.5
330;0;0.0947;0;1097.8
331;0;0.1738;0;886.82
332;0;0.0698;0;991.47
333;0;0.0512;0;1043.9
334;0;0.105;0;952.12
335;0;0.0367;0;977.21
336;0;0.0211;0;735.01
337;0;0.05;0;695.41
338;0;0.0389;0;862.37
339;0;0.0155;0;849.7
340;0;0.0358;0;968.68
341;0;0.021;0;827.26
342;0;0.0091;0;862.69
343;0;0.0101;0;872.8
344;0;0.0224;0;793.91
345;0;0.0113;0;998.07
346;0;0.0058;0;1099.8
347;0;0.0045;0;1064.9
348;0;0.0045;0;1020.1
349;0;0.0016;0;1114.1
350;0;0.0016;0;1121.5
351;0;0.0015;0;1074.7
352;0;0.0044;0;1085.4
353;0;0.0015;0;1046
354;0;0.0001;0;1185
355;0;0.0006;0;1186
356;0;0.0007;0;1097.1
357;0;0.0014;0;752.74
358;0;0.0011;0;786.11
359;0;0.0007;0;829.02
360;0;0.001;0;1191.8
361;0;0.0007;0;959.58
362;0;0;0;997.74
363;0;0;0;1105.7
364;0;0;0;1116.5
365;0;0;0;1031.7
366;0;0;0;1423.7
367;0;0;0;1257.6
368;0;0;0;1231.8
369;0;0;0;1182
370;0;0;0;1294
371;0;0;0;1095.8
372;0;0;0;1121.9
373;0;0;0;1080.1
374;0;0;0;890.62
375;0;0;0;828.89
376;0;0;0;1215.2
377;0;0;0;1153.7
378;0;0;0;1583.2
379;0;0;0;1149.9
380;0;0;0;1100.3
381;0;0;0;1239.2
382;0;0;0;865.17
383;0;0;0;687.95
384;0;0;0;700.78
385;0;0;0;1046.5
386;0;0;0;835.56
387;0;0;0;995.77
388;0;0;0;930.44
389;0;0;0;1024.4
390;0;0;0;1294.3
391;0;0;0;1443.8
392;0;0;0;1285
393;0;0;0;666.94
394;0;0;0;737.22
395;0;0;0;1291.2
396;0;0;0;1238.5
397;0;0;0;553
398;0;0;0;1454
399;0;0;0;1704.8
400;0;0;0;1720.7
401;0;0;0;1747.4
402;0;0;0;1752.9
403;0;0;0;1688.9
404;0;0;0;1728.8
405;0;0;0;1652.4
406;0;0;0;1700.1
407;0;0;0;1543.1
408;0;0;0;1684.4
409;0;0;0;1883.2
410;0;0;0;1562.5
411;0;0;0;1816.5
412;0;0;0;1907.2
413;0;0;0;1720.4
414;0;0;0;1779.2
415;0;0;0;1793.5
416;0;0;0;1872.4
417;0;0;0;1764.9
418;0;0;0;1724.7
419;0;0;0;1703.7
420;0;0;0;1513.4
421;0;0;0;1824
422;0;0;0;1756.1
423;0;0.0007;0;1567.3
424;0;0.0008;0;1651.9
425;0;0.001;0;1622.7
426;0;0.001;0;1665.2
427;0;0.001;0;1558.3
428;0;0.001;0;1533.8
429;0;0.001;0;1423.8
430;0;0.001;0;1174.4
431;0;0.001;0;1055.8
432;0;0.0012;0;1776.3
433;0;0.0014;0;1723.9
434;0;0.0015;0;1554.9
435;0;0.0015;0;1690.1
436;0;0.0015;0;1848.4
437;0;0.0015;0;1825.4
438;0;0.0018;0;1715.1
439;0;0.0021;0;1577.8
440;0;0.0024;0;1732.3
441;0;0.0029;0;1810.4
442;0;0.003;0;1901.8
443;0;0.0033;0;1849.7
444;0;0.0034;0;1895.1
445;0;0.0031;0;1911.8
446;0;0.0029;0;1785.5
447;0;0.0029;0;1945.3
448;0;0.0029;0;2028.6
449;0;0.0032;0;1972.3
450;0;0.0035;0;2072.7
451;0;0.0038;0;2209.3
452;0;0.0039;0;2071
453;0;0.0039;0;1883
454;0;0.0039;0;2012.3
455;0;0.0041;0;2028.3
456;0;0.0045;0;2095.3
457;0;0.0051;0;2128.3
458;0;0.006;0;2031.5
459;0;0.0069;0;2025.6
460;0;0.0076;0;2040.1
461;0;0.0082;0;2091.2
462;0;0.0086;0;2044.6
463;0;0.0086;0;2043.8
464;0;0.008;0;2068.5
465;0;0.0075;0;2010.9
466;0;0.0074;0;2088.3
467;0;0.0075;0;2005.4
468;0;0.008;0;2139.5
469;0;0.0083;0;2095.1
470;0;0.0089;0;2056.1
471;0;0.0091;0;2027.8
472;0;0.0092;0;2111.2
473;0;0.0093;0;2059.5
474;0;0.0096;0;2057.8
475;0;0.0103;0;2131.1
476;0;0.0113;0;2084.6
477;0;0.0126;0;2092
478;0;0.0142;0;2162.7
479;0;0.0159;0;2047.7
480;0;0.0174;0;2107.9
481;0;0.0187;0;2055.8
482;0;0.0195;0;2123.4
483;0;0.0196;0;2099.5
484;0;0.0191;0;2033.4
485;0;0.0184;0;1996
486;0;0.0179;0;1721.5
487;0;0.0177;0;1814.8
488;0;0.0179;0;1964.4
489;0;0.0185;0;1891.7
490;0;0.0193;0;2103.4
491;0;0.0198;0;1980
492;0;0.0201;0;1851.2
493;0;0.0204;0;2025.4
494;0;0.0209;0;1973.5
495;0;0.0214;0;2110.4
496;0;0.0221;0;2014.5
497;0;0.0236;0;2005.4
498;0;0.0251;0;1908.9
499;0;0.0271;0;1939
500;0;0.0296;0;1899
501;0;0.032;0;1877.1
502;0;0.0344;0;1874.8
503;0;0.0367;0;1927.2
504;0;0.0383;0;1877.9
505;0;0.0393;0;1948
506;0;0.0396;0;2067.3
507;0;0.0394;0;1992.8
508;0;0.0389;0;1882.3
509;0;0.038;0;2000.6
510;0;0.0375;0;1946
511;0;0.0373;0;1965.1
512;0;0.0378;0;2011.8
513;0;0.0384;0;1859.2
514;0;0.0394;0;1872.8
515;0;0.0403;0;1857.7
516;0;0.0411;0;1925.1
517;0;0.0419;0;1562.4
518;0;0.0428;0;1686.9
519;0;0.0436;0;1646.3
520;0;0.0445;0;1841.1
521;0;0.0458;0;1858
522;0;0.0475;0;1925
523;0;0.0493;0;1819.8
524;0;0.0516;0;1935.1
525;0;0.054;0;1963
526;0;0.0565;0;1809.6
527;0;0.059;0;1637.4
528;0;0.0614;0;1912.2
529;0;0.0637;0;1968.2
530;0;0.0659;0;1917.9
531;0;0.0676;0;2016.6
532;0;0.0689;0;1925.9
533;0;0.0696;0;1770.5
534;0;0.0701;0;1791.6
535;0;0.0703;0;1902.2
536;0;0.07;0;1986.4
537;0;0.0701;0;1865.3
538;0;0.0704;0;1943.5
539;0;0.0712;0;1914.5
540;0;0.0721;0;1808.5
541;0;0.0734;0;1808.8
542;0;0.0748;0;1882.2
543;0;0.0763;0;1860.7
544;0;0.0776;0;1925.3
545;0;0.0789;0;1933.4
546;0;0.08;0;1906.4
547;0;0.0809;0;1904.3
548;0;0.0817;0;1851
549;0;0.0824;0;1892.8
550;0;0.0831;0;1873
551;0;0.0839;0;1870.9
552;0;0.0848;0;1922.6
553;0;0.0859;0;1856.9
554;0;0.087;0;1896.6
555;0;0.0884;0;1915.8
556;0;0.0899;0;1880.3
557;0;0.0918;0;1839.4
558;0;0.094;0;1855.4
559;0;0.0961;0;1802.3
560;0;0.0987;0;1833
561;0;0.101;0;1914.3
562;0;0.1035;0.0007;1827.6
563;0;0.1056;0.0005;1904.7
564;0;0.1076;0.0011;1877.6
565;0;0.1094;0.0016;1892.7
566;0;0.1111;0.0014;1784.2
567;0;0.1124;0.0048;1834.4
568;0;0.1137;0.025;1874.4
569;0;0.1153;0.0975;1841.1
570;0;0.1166;0.078;1852.3
571;0;0.118;0.0241;1816.9
572;0;0.1191;0.0476;1878.8
573;0;0.1199;0.0475;1917.9
574;0;0.1199;0.0413;1900.3
575;0;0.1199;0.0389;1849.6
576;0;0.1194;0.0365;1867.7
577;0;0.1184;0.0248;1868.3
578;0;0.1175;0.0163;1838.3
579;0;0.1163;0.0068;1831.1
580;0;0.1152;0.0069;1867.3
581;0;0.1141;0.0048;1851.6
582;0;0.1132;0.0045;1876.6
583;0;0.1123;0.0069;1875.2
584;0;0.1116;0.0088;1871.5
585;0;0.111;0.0117;1850.8
586;0;0.1106;0.0124;1799
587;0;0.1104;0.0426;1837.6
588;0;0.1105;0.2088;1812
589;0;0.1108;0.6296;1642.6
590;0;0.1112;0.8102;1742.5
591;0;0.1123;0.4229;1829.5
592;0;0.1134;0.5698;1811
593;0;0.1152;0.2573;1797.1
594;0;0.1172;0.3628;1819.4
595;0;0.1194;0.6673;1804.2
596;0;0.1218;0.2095;1810.5
597;0;0.124;0.2762;1819.7
598;0;0.1263;0.1524;1799.9
599;0;0.1279;0.1179;1791.4
600;0;0.1293;0.0556;1784.2
601;0;0.1303;0.0274;1760
602;0;0.1308;0.0126;1752.3
603;0;0.1304;0.0061;1764.9
604;0;0.1299;0.0027;1811.9
605;0;0.1289;0.0011;1802
606;0;0.1274;0;1777.6
607;0;0.1255;0;1776.3
608;0;0.1236;0;1763.6
609;0;0.1213;0;1745.6
610;0;0.1191;0;1734.5
611;0;0.1169;0;1724.8
612;0;0.1148;0;1730.4
613;0;0.1127;0;1679
614;0;0.1108;0;1661.8
615;0;0.1089;0;1694.3
616;0;0.107;0;1647.4
617;0;0.1054;0;1630.1
618;0;0.1039;0;1715.3
619;0;0.1023;0;1711.5
620;0;0.1012;0;1703.6
621;0;0.0998;0;1717.4
622;0;0.0985;0;1679.4
623;0;0.0975;0;1678
624;0;0.0962;0;1633.6
625;0;0.0951;0;1628.1
626;0;0.0938;0.0016;1623.5
627;0;0.0926;0.0223;1678.5
628;0.0408;0.0912;0.0243;1690
629;0.0261;0.0897;0.0386;1701.8
630;0.0175;0.0884;0.0155;1670.7
631;0.0094;0.0871;0.0119;1644.7
632;0.0043;0.0857;0.04;1620.3
633;0.0017;0.0843;0.0277;1656.8
634;0.0001;0.0828;0.0168;1635.6
635;0;0.0815;0.0242;1642.1
636;0;0.0799;0.0168;1621.6
637;0;0.0783;0.0177;1638.6
638;0;0.0769;0.0107;1660.2
639;0;0.0753;0.01;1636.7
640;0;0.0738;0.0066;1616.7
641;0;0.0723;0.0067;1599.9
642;0;0.071;0.0061;1616.5
643;0;0.0697;0.0138;1622.6
644;0;0.0684;0.016;1604.9
645;0;0.0672;0.0403;1607.1
646;0;0.066;0.1316;1594.9
647;0;0.0648;0.3258;1584.2
648;0;0.0638;0.514;1606.3
649;0;0.0627;0.3791;1570.2
650;0;0.0617;0.1653;1548
651;0;0.0607;0.1529;1606.8
652;0;0.0596;0.2278;1599.7
653;0;0.0586;0.116;1601.3
654;0;0.0575;0.1105;1580.1
655;0;0.0566;0.183;1522
656;0;0.0555;0.1714;1337.5
